Year/Quarter,Australia,Brunei Darussalam,Canada,China,Chinese Taipei,France,Germany,India,Indonesia,Japan,Netherlands,Saudi Arabia,Singapore,South Korea,Sweden,Thailand,United Kingdom,United States,Vietnam,Others,Overall
2024-9-30,788.16,788.46,165.15,2728.87,646.12,177.91,270.77,1536.32,5175.84,710.79,97.28,149.8,6901.62,912.15,46.94,1357.2,811.63,502.03,514.62,2141.49,26423.15
2024-12-31,638.92,433.7,147.15,3602.48,462.91,209.61,276.96,1308,3436.77,413.43,102.09,131.31,3873.62,804.5,41.85,714.11,647.11,411.94,301.08,2851.55,20809.09
2025-3-31,496.98,536.31,96.41,1278.91,272.45,141.75,171.71,767.73,3131.14,193.18,86.22,95.46,5418.82,341.7,6.57,596.95,452.3,321.58,411.74,1841.22,16659.13
2025-6-30,945.61,631.91,158.79,6212.7,863.11,364.32,287.44,1704.38,4663.67,682.8,235.08,567.77,7422.42,1089.13,23.07,1222.95,831.83,560.95,631.58,4133.48,33232.99
2025-9-30,983.87,971.1,200.64,3460.15,840.64,221.78,342.06,1921.94,6425.6,917.5,121.88,189.07,8330.56,1138.41,57.19,1663.7,1005.57,620.04,624.41,2670.59,32706.7
2025-12-31,771.04,479.58,177.92,4440.94,573.29,255.31,337.43,1632.25,4200.08,502.92,121.23,169.6,4108.42,967.63,49.36,822.06,805.1,500.04,365.55,3422.44,24702.19
2026-3-31,554.64,555.64,106.34,1091.32,276.37,152.07,192.85,792.42,3414.56,196.38,96.14,86.74,5777.97,349.42,4.88,602.56,490.86,352.74,456.98,1994.99,17545.87
2026-6-30,1126.28,741.62,191.24,7497.48,1023.45,432.22,337.55,2005.4,5571.02,801.32,278.14,668.91,8735.2,1299.32,27.3,1471.59,982.16,669.73,760.11,4881.99,39502.03
2026-9-30,1179.48,1152.65,235.59,4193.69,1037.44,265.74,413.8,2308.31,7670.16,1128.22,146.7,229.04,9741.99,1364.48,67.25,1966.78,1198.6,737.44,732.48,3201.76,38971.6
2026-12-31,902.23,524.99,208.54,5276.32,682.24,300.64,397.15,1954.55,4959.41,589.67,140.01,207.03,4341.1,1128.63,56.8,930,962.36,587.68,429.94,3984.79,28564.08
2027-03-31,612.87,575.04,116.38,910.5,281.87,162.59,214.67,822.37,3702,202.84,106.35,79.55,6125.72,358.58,3.2,606.83,530.04,384.13,501.76,2152.61,18449.9
2027-06-30,1304.64,848.74,223.54,8771,1180.22,499.14,386.27,2298.85,6467.45,914.87,320.41,767.24,10028.93,1506.22,31.44,1718.87,1129.71,777.38,888.25,5617.19,45680.36
2027-09-30,1374.8,1332.85,269.97,4928.73,1236.3,309.72,485.94,2695.07,8908.25,1342.71,171.73,269.63,11134.13,1590.12,77.09,2266.1,1390.54,854.12,838.74,3734.47,45211.01
2027-12-31,1032.36,569.81,238.97,6107.36,789.63,345.55,456.08,2274.53,5713.89,673.56,158.43,243.49,4571.12,1287.27,64.15,1037.77,1118.7,674.76,494.15,4537.91,32389.49
2028-03-31,485.21,263.19,81.21,592.9,166.39,126.66,171.34,851.63,2642.49,44.35,77.75,-68.6,3917.12,127.39,-5.62,353.01,353.64,290.67,323.61,1449.87,12244.21
2028-06-30,808.1,265.81,120.85,4038.05,595.65,290.56,256.05,1499.4,3536.7,410.52,192.45,289.66,4960.31,667.83,4.82,736.18,618.08,451.1,460.29,3130.91,23333.32
2028-09-30,833.45,534.48,159.76,1848.61,542.38,172.95,290.84,1639.69,4966.24,561.84,98.45,-24.52,5769.84,704.07,33.03,1120.12,750.86,502,472.13,1899.9,22876.12
2028-12-31,684.21,179.73,141.77,2722.23,359.17,204.65,297.02,1411.37,3227.18,264.48,103.26,-43.01,2741.85,596.41,27.94,477.04,586.33,411.91,258.59,2609.96,17262.09
2029-03-31,542.27,282.34,91.02,398.66,168.7,136.79,191.78,871.1,2921.54,44.23,87.39,-78.86,4287.05,133.61,-7.34,359.88,391.52,321.55,369.25,1599.63,13112.11
2029-06-30,990.9,377.94,153.4,5332.45,759.37,359.36,307.51,1807.75,4454.07,533.85,236.25,393.45,6290.64,881.04,9.16,985.87,771.05,560.92,589.09,3891.89,29685.96
2029-09-30,1029.16,717.12,195.25,2579.89,736.89,216.82,362.12,2025.31,6216.01,768.55,123.05,14.75,7198.79,930.32,43.28,1426.63,944.79,620.01,581.92,2429,29159.66
2029-12-31,816.33,225.61,172.53,3560.68,469.54,250.35,357.49,1735.62,3990.48,353.97,122.39,-4.72,2976.64,759.54,35.45,584.98,744.33,500.01,323.07,3180.84,21155.13